loanNumber,purpose,strata,clientId,dateOfBirth,cycle,province,district,submissionDate,approvalDate,disbursementDate,appliedAmount,approvedAmount,disbursedAmount,loanType,termsDuration,actualPaymentAmount,principalPaid,interestPaid,insuranceFeePaid,totalLateFeesPaid,excessAmountPaid,interestWaived,currentBalance,principalBalance,interestBalance,feesBalance,amountPastDue,principalPastDue,interestPastDue,feesPastDue,scheduledPrincipalAmount,scheduledInterestAmount,scheduledFeesAmount,scheduledPaymentAmount,lastPaymentAmount,lastPrincipalAmount,lastInterestAmount,lastFeesAmount,lastLateFeesAmount,lastExcessAmount,daysInArrears,installmentInArrears,lastPaymentDate,loanStatus,industrySectorOfActivity,businessSubSector,countrySpecific,country_code
LN-ET-2023-276595,Stock purchase,host,ET-ET-2019-S2-U03665,1992-10-23,3,Amhara,Mekelle,2023-11-01,2023-11-24,2023-11-28,193.59,161.5,149.8,Inventory Loan,12,100.17,88.41,8.44,1.47,0.0,1.84,0.0,77.03,61.39,10.11,6.24,0.0,0.0,0.0,0.0,12.48,1.55,0.52,14.55,13.22,8.49,4.22,1.29,0.0,0.0,0,0,2024-03-03,active,Retail & Trade,Pharmacy,Ethiopia,ET
LN-RW-2024-782946,Stock purchase,refugee,RW-RW-2026-S3-U00669,1977-07-13,1,Southern,Huye,2024-03-13,2024-03-28,2024-04-09,1287.16,1184.56,1152.4,Working Capital,12,492.6,388.19,45.96,1.2,0.0,57.26,0.0,842.0,764.22,115.56,17.42,0.0,0.0,0.0,0.0,96.03,13.46,1.45,110.94,82.01,65.33,28.39,3.2,0.0,0.0,0,0,2024-07-13,active,Transport,Logistics,Rwanda,RW
LN-KE-2025-779862,Working capital,host,KE-KE-2023-S2-U01552,1987-06-26,2,Nairobi,Mombasa,2025-02-19,2025-03-13,2025-03-14,313.38,275.91,256.13,Seasonal Loan,24,340.12,225.12,55.31,3.09,0.0,56.6,0.0,0.0,31.01,10.42,11.59,0.0,0.0,0.0,0.0,10.67,2.74,0.48,13.89,3.91,2.51,1.03,0.07,0.0,0.3,0,0,2025-06-12,closed,Professional Services,Tailoring,Kenya,KE
LN-ET-2019-503245,Equipment,host,ET-ET-2025-S3-U03906,1988-12-10,3,Tigray,Hawassa,2019-01-18,2019-02-16,2019-03-02,1222.88,1010.14,921.0,Working Capital,6,477.24,395.23,73.63,1.25,0.0,7.13,0.0,651.73,525.78,109.24,22.13,0.0,0.0,0.0,0.0,153.5,30.48,3.69,187.67,245.53,136.32,78.69,11.06,0.0,19.46,0,0,2019-05-25,active,Hospitality and Tourism,Catering,Ethiopia,ET
LN-RW-2020-544351,Working capital,host,RW-RW-2020-S3-U00131,1980-01-29,3,Southern,Rubavu,2020-07-09,2020-08-01,2020-08-06,833.25,807.07,729.8,Emergency Loan,24,661.62,568.07,86.76,9.8,15.87,0.0,0.0,228.42,161.73,35.16,9.27,34.26,16.17,3.52,0.93,30.41,5.08,1.05,36.54,50.46,36.46,12.28,0.75,2.26,0.0,19,1,2020-11-04,active,Retail & Trade,Phone Accessories,Rwanda,RW
LN-KE-2025-367545,Equipment,refugee,KE-KE-2026-S2-U00418,1986-07-25,1,Western,Mombasa,2025-02-23,2025-03-16,2025-03-22,469.74,420.4,411.46,Working Capital,18,231.38,197.8,17.72,1.3,0.0,14.56,0.0,229.23,213.66,24.22,4.62,0.0,0.0,0.0,0.0,22.86,2.33,0.26,25.45,19.01,11.97,4.98,0.15,0.0,1.9,0,0,2025-06-10,active,Construction,Masonry,Kenya,KE
LN-KE-2019-587684,Emergency,refugee,KE-KE-2021-S1-U02517,1996-12-03,3,Central,Nairobi,2019-10-15,2019-11-03,2019-11-11,252.62,215.03,197.53,Working Capital,24,95.31,72.29,14.47,0.81,5.4,2.34,0.0,154.16,125.24,27.6,2.36,23.12,12.52,2.76,0.24,10.0,1.75,0.32,12.08,12.6,9.97,3.31,0.17,0.36,0.0,2,2,2020-02-15,active,Retail & Trade,Phone Accessories,Kenya,KE
LN-RW-2022-200255,Equipment,host,RW-RW-2021-S3-U04172,1990-08-24,2,Southern,Kicukiro,2022-05-13,2022-05-14,2022-05-24,979.16,892.32,873.93,Seasonal Loan,12,333.94,215.99,58.77,0.16,0.0,59.02,0.0,815.07,657.94,199.26,16.51,0.0,0.0,0.0,0.0,72.83,21.5,1.38,95.71,113.08,89.81,32.08,3.94,0.0,0.0,0,0,2022-09-15,active,ICT,Device Repair,Rwanda,RW
LN-ET-2025-697389,Rent/Utilities,refugee,ET-ET-2022-S2-U04360,1989-05-03,2,Amhara,Mekelle,2025-08-25,2025-09-19,2025-09-23,427.06,421.64,402.81,Asset Finance,3,472.42,398.83,39.79,4.33,0.0,29.47,0.0,0.0,3.98,10.2,7.69,0.0,0.0,0.0,0.0,134.27,16.66,2.56,153.5,156.74,131.29,24.37,7.69,0.0,0.0,0,0,2025-10-29,closed,ICT,Mobile Money,Ethiopia,ET
LN-RW-2026-591536,Expansion,refugee,RW-RW-2021-S2-U04633,1969-03-23,2,Southern,Nyarugenge,2026-05-30,2026-06-27,2026-07-01,544.03,476.37,462.35,Working Capital,9,258.92,202.41,45.1,0.48,3.13,7.8,14.55,325.85,259.94,45.48,13.08,48.88,25.99,4.55,1.31,51.37,11.68,1.8,64.85,56.31,42.02,10.97,4.21,2.6,0.0,39,4,2026-10-01,restructured,Retail & Trade,Pharmacy,Rwanda,RW
LN-RW-2023-285368,Stock purchase,host,RW-RW-2022-S3-U03642,1988-08-22,3,Eastern,Musanze,2023-08-08,2023-08-11,2023-08-20,549.32,431.12,428.83,Seasonal Loan,9,532.77,422.04,72.46,0.15,0.0,38.11,0.0,0.0,6.79,23.28,7.83,0.0,0.0,0.0,0.0,47.65,10.64,0.87,59.16,45.77,36.96,6.54,1.42,0.0,0.85,0,0,2023-12-12,closed,Agriculture,Dairy,Rwanda,RW
LN-ET-2019-234185,Rent/Utilities,host,ET-ET-2023-S3-U02701,1983-10-12,2,Addis Ababa,Bole,2019-10-09,2019-10-24,2019-10-25,100.0,103.65,94.99,Inventory Loan,6,39.51,31.84,8.07,0.09,0.0,0.0,0.0,82.4,63.15,16.51,2.06,0.0,0.0,0.0,0.0,15.83,4.1,0.34,20.27,19.19,13.53,4.72,1.03,0.0,0.0,0,0,2019-12-24,active,Hospitality and Tourism,Restaurant,Ethiopia,ET
LN-ET-2020-713594,Rent/Utilities,refugee,ET-ET-2021-S3-U02027,2000-09-06,2,Oromia,Hawassa,2020-05-20,2020-05-28,2020-06-03,554.26,570.55,546.23,Emergency Loan,3,453.08,379.21,45.14,0.07,0.0,28.66,0.0,190.27,167.02,36.88,15.01,0.0,0.0,0.0,0.0,182.08,27.34,5.0,214.42,261.26,191.87,68.91,15.01,0.0,0.0,0,0,2020-07-21,active,Retail & Trade,Grocery,Ethiopia,ET
LN-ET-2026-124445,Equipment,host,ET-ET-2026-S3-U00061,1994-11-14,1,Tigray,Kirkos,2026-11-19,2026-12-12,2026-12-24,570.82,563.48,532.52,Emergency Loan,6,667.05,495.98,127.68,5.32,0.0,38.07,0.0,11.37,36.53,6.57,6.25,0.0,0.0,0.0,0.0,88.75,22.37,1.04,112.17,133.39,74.79,35.74,3.12,0.0,19.73,0,0,2027-02-10,closed,Professional Services,Consulting,Ethiopia,ET
LN-KE-2024-617801,Expansion,host,KE-KE-2018-S2-U04474,1979-12-21,1,Rift Valley,Nairobi,2024-09-28,2024-10-03,2024-10-16,178.26,175.86,171.56,Asset Finance,18,22.84,16.95,3.98,0.26,1.47,0.19,0.0,200.29,154.61,39.74,3.87,30.04,15.46,3.97,0.39,10.0,2.43,0.3,12.73,20.51,11.48,4.77,0.35,0.26,3.66,63,2,2024-11-04,defaulted,Professional Services,Repairs,Kenya,KE
LN-KE-2026-647857,Working capital,host,KE-KE-2024-S3-U01224,1977-11-09,2,Nairobi,Kajiado,2026-05-14,2026-06-09,2026-06-10,521.09,483.35,445.32,Emergency Loan,9,374.61,269.41,44.49,4.22,2.53,53.95,0.0,170.53,175.91,39.14,7.51,25.58,17.59,3.91,0.75,49.48,9.29,1.12,59.89,24.5,17.11,6.89,1.26,0.33,0.0,10,3,2026-09-23,active,Agriculture,Poultry,Kenya,KE
LN-KE-2026-732860,Working capital,refugee,KE-KE-2018-S1-U03903,1973-12-31,2,Nairobi,Kisumu,2026-02-06,2026-02-14,2026-02-23,702.16,629.75,594.88,Inventory Loan,18,226.98,205.43,22.21,1.15,0.0,0.0,0.0,445.01,389.45,37.95,13.56,0.0,0.0,0.0,0.0,33.05,3.34,0.75,37.14,36.92,26.42,6.5,1.89,0.0,2.11,0,0,2026-05-18,active,Retail & Trade,Clothing,Kenya,KE
LN-RW-2022-887378,Working capital,refugee,RW-RW-2025-S3-U00069,1990-10-24,2,Western,Rubavu,2022-01-13,2022-01-21,2022-01-28,292.83,275.66,274.82,Emergency Loan,12,44.0,35.24,6.9,0.41,4.03,0.0,0.0,315.85,239.58,64.74,6.05,47.38,23.96,6.47,0.6,22.9,5.97,0.84,29.71,17.2,14.51,5.93,0.32,0.14,0.0,62,2,2022-05-27,defaulted,Construction,Paint,Rwanda,RW
LN-RW-2023-166402,Stock purchase,refugee,RW-RW-2026-S2-U02442,1993-10-01,2,Southern,Rubavu,2023-10-03,2023-10-18,2023-10-30,141.1,135.12,126.74,Seasonal Loan,24,10.36,8.99,0.89,0.07,1.08,0.0,0.0,139.76,117.75,15.99,4.42,20.96,11.78,1.6,0.44,10.0,1.0,0.23,11.23,8.9,6.85,2.24,0.58,0.29,0.0,80,1,2024-02-15,defaulted,Agriculture,Dairy,Rwanda,RW
LN-RW-2022-165525,Expansion,host,RW-RW-2022-S1-U01037,1988-05-25,1,Southern,Gasabo,2022-08-01,2022-08-31,2022-09-11,583.83,462.18,428.2,Emergency Loan,24,210.1,182.07,24.85,1.42,2.06,0.0,3.25,287.21,246.14,28.37,7.2,43.08,24.61,2.84,0.72,17.84,2.35,0.39,20.58,31.6,22.83,3.7,1.16,1.23,2.68,23,2,2023-03-05,restructured,Hospitality and Tourism,Catering,Rwanda,RW
LN-ET-2019-486144,Stock purchase,refugee,ET-ET-2022-S3-U04862,1993-03-15,5,Oromia,Yeka,2019-04-01,2019-04-20,2019-05-02,264.0,245.42,230.3,Inventory Loan,12,66.77,50.28,9.03,1.04,3.27,3.16,0.0,221.86,180.02,38.89,2.67,33.28,18.0,3.89,0.27,19.19,3.99,0.49,23.68,26.17,18.41,7.83,1.48,1.15,0.0,76,4,2019-09-14,defaulted,Professional Services,Tailoring,Ethiopia,ET
LN-RW-2025-206583,Equipment,refugee,RW-RW-2022-S2-U00377,2002-08-22,3,Eastern,Musanze,2025-03-15,2025-03-30,2025-04-09,797.78,819.06,750.48,Asset Finance,12,507.58,418.38,68.06,2.41,0.0,18.73,0.0,404.72,332.1,64.51,24.91,0.0,0.0,0.0,0.0,62.54,11.05,2.08,75.66,65.6,53.94,14.58,3.13,0.0,0.0,0,0,2025-06-23,active,Professional Services,Hair Salon,Rwanda,RW
LN-KE-2022-300412,Equipment,refugee,KE-KE-2026-S1-U01147,1979-12-26,1,Western,Kisumu,2022-05-13,2022-06-03,2022-06-03,1034.77,1000.97,976.47,Inventory Loan,9,483.66,418.16,41.31,6.53,0.0,17.65,0.0,623.24,558.31,58.5,15.67,0.0,0.0,0.0,0.0,108.5,11.09,1.74,121.33,80.22,46.85,19.93,5.03,0.0,8.4,0,0,2022-07-18,active,Manufacturing,Crafts,Kenya,KE
LN-RW-2025-570571,Equipment,host,RW-RW-2025-S3-U04816,1974-06-15,1,Eastern,Rwamagana,2025-08-09,2025-08-10,2025-08-11,100.0,103.86,100.99,Emergency Loan,9,27.02,20.81,3.82,0.08,2.8,0.0,0.0,97.5,80.18,14.72,1.79,14.62,8.02,1.47,0.18,11.22,2.06,0.51,13.79,16.07,9.88,3.6,0.33,0.79,1.46,55,3,2026-01-05,defaulted,Hospitality and Tourism,Coffee Shop,Rwanda,RW
LN-RW-2019-332092,Rent/Utilities,refugee,RW-RW-2019-S1-U03064,1981-09-19,2,Western,Rwamagana,2019-01-03,2019-01-21,2019-02-01,362.64,282.01,258.59,Emergency Loan,3,95.86,66.8,18.91,0.15,0.0,10.0,0.0,243.26,191.79,51.02,10.08,0.0,0.0,0.0,0.0,86.2,23.31,3.36,112.87,140.5,102.53,48.09,7.28,0.0,0.0,0,0,2019-03-21,active,Manufacturing,Furniture,Rwanda,RW
LN-RW-2023-726529,Working capital,refugee,RW-RW-2021-S2-U03745,1991-01-27,2,Northern,Musanze,2023-11-08,2023-11-16,2023-11-21,325.7,282.68,261.12,Working Capital,24,166.55,118.44,26.21,0.14,0.0,21.76,0.0,163.54,142.68,34.12,8.36,0.0,0.0,0.0,0.0,10.88,2.51,0.35,13.74,12.0,6.83,2.77,0.26,0.0,2.13,0,0,2024-04-09,active,Construction,Paint,Rwanda,RW
LN-ET-2024-204642,Equipment,host,ET-ET-2026-S3-U00973,1990-04-03,2,Addis Ababa,Mekelle,2024-05-04,2024-05-25,2024-05-29,248.91,212.44,201.64,Working Capital,18,235.65,171.23,25.28,2.62,0.0,36.52,0.0,2.8,30.4,3.14,5.75,0.0,0.0,0.0,0.0,11.2,1.58,0.32,13.1,16.72,9.45,4.74,0.07,0.0,2.46,0,0,2024-08-21,closed,Agriculture,Grains,Ethiopia,ET
LN-RW-2024-942947,Working capital,host,RW-RW-2021-S2-U04027,1979-05-29,2,Southern,Gasabo,2024-07-26,2024-08-03,2024-08-12,1320.11,1121.82,1100.02,Emergency Loan,24,867.71,613.43,166.59,10.68,29.45,47.57,0.0,564.47,486.59,98.9,19.59,84.67,48.66,9.89,1.96,45.83,11.06,2.04,58.94,61.46,48.3,13.92,1.32,0.25,0.0,4,2,2024-10-26,active,Retail & Trade,Pharmacy,Rwanda,RW
LN-RW-2022-974091,Equipment,host,RW-RW-2021-S2-U04133,1985-05-17,1,Eastern,Nyarugenge,2022-01-18,2022-02-08,2022-02-18,226.4,202.13,196.17,Working Capital,9,100.02,84.01,13.33,1.35,0.0,1.33,0.0,136.15,112.16,20.3,3.18,0.0,0.0,0.0,0.0,21.8,3.74,0.35,25.89,19.29,12.98,5.75,0.92,0.0,0.0,0,0,2022-09-06,active,Retail & Trade,Clothing,Rwanda,RW
LN-RW-2025-162684,Rent/Utilities,host,RW-RW-2020-S3-U00256,1988-01-16,3,Southern,Huye,2025-11-01,2025-11-24,2025-11-30,339.6,275.87,253.69,Seasonal Loan,3,206.85,170.48,14.24,1.45,0.0,20.69,0.0,80.9,83.22,10.02,7.79,0.0,0.0,0.0,0.0,84.56,8.09,2.6,95.25,115.23,71.82,14.33,1.41,0.0,27.67,0,0,2026-01-17,active,Retail & Trade,Clothing,Rwanda,RW
LN-RW-2025-587028,Expansion,host,RW-RW-2018-S1-U03422,1985-01-29,1,Western,Rubavu,2025-12-11,2025-12-21,2026-01-03,243.02,207.36,201.61,Seasonal Loan,24,79.81,55.89,15.42,0.9,0.0,7.61,0.0,188.84,145.73,39.17,9.43,0.0,0.0,0.0,0.0,10.0,2.27,0.39,12.67,7.74,5.3,1.72,0.59,0.0,0.12,0,0,2026-06-12,active,Retail & Trade,Phone Accessories,Rwanda,RW
LN-ET-2024-353835,Emergency,host,ET-ET-2022-S1-U03926,2004-07-02,2,Amhara,Yeka,2024-09-19,2024-10-12,2024-10-12,179.21,152.4,142.29,Emergency Loan,3,169.63,141.85,19.67,0.36,0.0,7.75,0.0,0.0,0.43,0.71,3.87,0.0,0.0,0.0,0.0,47.43,6.79,1.29,55.51,39.45,31.74,12.88,0.76,0.0,0.0,0,0,2024-11-29,closed,Professional Services,Tailoring,Ethiopia,ET
LN-KE-2021-725789,Working capital,host,KE-KE-2026-S1-U00470,1972-10-19,2,Central,Nairobi,2021-02-02,2021-02-28,2021-03-11,173.88,180.3,170.63,Inventory Loan,12,128.56,97.73,9.23,1.54,0.0,20.05,0.0,63.02,72.9,4.82,4.6,0.0,0.0,0.0,0.0,14.22,1.17,0.38,15.77,25.47,14.41,3.51,0.69,0.0,6.86,0,0,2021-06-04,active,Personal Services,Childcare,Kenya,KE
LN-RW-2022-388968,Emergency,host,RW-RW-2019-S2-U03422,1987-01-09,2,Western,Rwamagana,2022-12-13,2023-01-12,2023-01-22,124.28,100.0,92.38,Inventory Loan,6,22.0,17.58,3.73,0.07,0.83,0.0,1.71,91.78,74.8,14.23,0.53,13.77,7.48,1.42,0.05,15.4,3.28,0.23,18.9,23.63,14.54,5.75,0.15,0.27,2.91,47,3,2023-04-12,restructured,Hospitality and Tourism,Coffee Shop,Rwanda,RW
LN-RW-2022-633606,Equipment,refugee,RW-RW-2020-S3-U00198,1983-12-13,3,Eastern,Musanze,2022-02-13,2022-03-01,2022-03-02,259.7,215.38,199.5,Inventory Loan,12,247.48,180.33,46.1,0.38,0.0,20.67,0.0,4.32,19.17,0.0,5.81,0.0,0.0,0.0,0.0,16.62,3.84,0.48,20.95,18.84,12.17,3.73,0.4,0.0,2.54,0,0,2022-04-03,closed,Retail & Trade,Phone Accessories,Rwanda,RW
LN-SS-2020-238304,Expansion,refugee,SS-SS-2024-S1-U02447,1993-02-23,1,Western Equatoria,Yambio,2020-09-27,2020-10-09,2020-10-14,145.45,115.89,115.66,Emergency Loan,9,154.1,115.66,28.04,1.9,0.0,8.5,0.0,0.07,0.0,3.44,5.13,0.0,0.0,0.0,0.0,12.85,3.5,0.57,16.92,7.17,5.88,1.6,0.34,0.0,0.0,0,0,2021-01-02,closed,Professional Services,Repairs,South Sudan,SS
LN-SS-2023-330611,Rent/Utilities,host,SS-SS-2025-S2-U00672,1981-04-23,3,Central Equatoria,Torit,2023-06-05,2023-06-23,2023-06-28,738.51,698.47,683.54,Inventory Loan,6,204.0,185.51,19.38,0.21,12.58,0.0,0.0,568.3,498.03,48.76,7.26,85.24,49.8,4.88,0.73,113.92,11.36,3.31,128.59,95.25,65.49,23.4,6.12,4.42,0.0,44,6,2023-07-13,defaulted,Professional Services,Consulting,South Sudan,SS
LN-ET-2026-244672,Working capital,refugee,ET-ET-2021-S3-U00163,1992-06-03,2,Addis Ababa,Bole,2026-06-19,2026-06-29,2026-07-06,100.0,100.0,95.94,Asset Finance,9,56.02,40.49,6.96,0.87,1.12,6.58,2.0,63.55,55.45,10.31,1.38,9.53,5.55,1.03,0.14,10.66,2.14,0.28,13.08,13.05,10.2,4.28,0.83,0.47,0.0,11,2,2026-07-25,restructured,Retail & Trade,Grocery,Ethiopia,ET
LN-RW-2023-154284,Expansion,refugee,RW-RW-2018-S2-U04514,1972-09-29,4,Eastern,Kicukiro,2023-01-27,2023-02-01,2023-02-08,916.51,798.31,782.18,Inventory Loan,12,667.61,524.33,113.12,9.75,0.0,20.42,0.0,367.29,257.85,94.57,29.92,0.0,0.0,0.0,0.0,65.18,17.31,2.49,84.98,82.06,67.53,19.32,0.74,0.0,0.0,0,0,2023-08-16,active,Transport,Taxi,Rwanda,RW
LN-RW-2025-770286,Working capital,host,RW-RW-2026-S2-U02697,1996-02-26,2,Eastern,Huye,2025-05-09,2025-05-12,2025-05-14,355.73,285.6,279.01,Seasonal Loan,18,51.08,39.65,7.16,0.19,1.52,2.56,0.0,292.4,239.36,42.24,12.28,43.86,23.94,4.22,1.23,15.5,2.74,0.77,19.01,22.43,17.75,4.51,1.05,0.48,0.0,32,1,2025-06-13,defaulted,Personal Services,Laundry,Rwanda,RW
LN-RW-2022-217648,Stock purchase,refugee,RW-RW-2024-S2-U04522,1996-07-07,2,Kigali City,Huye,2022-11-12,2022-11-25,2022-11-25,507.15,453.85,435.36,Emergency Loan,18,135.29,112.41,12.15,1.46,0.0,9.26,0.0,384.12,322.94,48.73,17.57,0.0,0.0,0.0,0.0,24.19,3.38,0.98,28.54,14.84,10.77,5.05,0.37,0.0,0.0,0,0,2023-02-18,active,Retail & Trade,Grocery,Rwanda,RW
LN-ET-2021-216688,Stock purchase,host,ET-ET-2021-S3-U04241,1998-10-30,1,Amhara,Yeka,2021-09-15,2021-09-29,2021-10-04,336.93,350.96,349.2,Emergency Loan,3,255.13,202.03,46.63,1.77,0.0,4.7,0.0,183.65,147.16,33.75,6.17,0.0,0.0,0.0,0.0,116.4,26.79,2.06,145.25,140.84,82.36,16.94,6.17,0.0,35.37,0,0,2021-11-05,active,Retail & Trade,Clothing,Ethiopia,ET
LN-RW-2020-318835,Stock purchase,refugee,RW-RW-2020-S1-U00650,1986-11-13,1,Southern,Rwamagana,2020-04-22,2020-05-12,2020-05-23,766.11,622.71,616.38,Asset Finance,18,455.31,353.48,42.39,0.8,0.0,58.65,0.0,258.79,262.9,31.21,22.87,0.0,0.0,0.0,0.0,34.24,4.09,1.27,39.6,22.65,18.9,3.16,1.4,0.0,0.0,0,0,2020-07-13,active,Professional Services,Repairs,Rwanda,RW
LN-KE-2025-260581,Stock purchase,refugee,KE-KE-2025-S2-U04410,1980-11-25,2,Central,Nakuru,2025-06-26,2025-07-25,2025-08-05,264.16,200.04,191.8,Inventory Loan,24,94.32,69.22,21.61,1.12,0.0,2.36,0.0,158.83,122.57,31.47,5.26,0.0,0.0,0.0,0.0,10.0,2.21,0.22,12.43,11.17,8.91,2.56,0.44,0.0,0.0,0,0,2025-08-31,active,Agriculture,Grains,Kenya,KE
LN-RW-2026-181109,Working capital,host,RW-RW-2022-S2-U03815,1995-12-19,5,Kigali City,Gasabo,2026-03-22,2026-04-05,2026-04-11,1255.93,982.82,970.77,Working Capital,9,701.56,613.46,71.35,7.71,0.0,9.04,0.0,439.4,357.31,71.2,15.11,0.0,0.0,0.0,0.0,107.86,15.84,1.68,125.38,124.28,73.42,43.28,5.04,0.0,2.53,0,0,2026-07-25,active,Transport,Logistics,Rwanda,RW
LN-RW-2022-476271,Emergency,refugee,RW-RW-2018-S2-U02526,1975-03-13,1,Eastern,Huye,2022-01-14,2022-01-19,2022-01-23,385.38,318.09,307.92,Working Capital,12,256.07,194.48,44.09,1.09,0.0,16.41,0.0,134.78,113.43,26.82,10.36,0.0,0.0,0.0,0.0,25.66,5.91,0.86,32.43,36.29,27.21,4.35,1.67,0.0,3.07,0,0,2022-08-11,active,Personal Services,Childcare,Rwanda,RW
