unique_id,survey_id,survey_date,age,gender,strata,client_location,nationality,education_level,business_sector,business_sub_sector,only_income_earner,number_of_people_reponsible,business_location,is_business_registered,has_access_to_finance_in_past_6months,have_bank_account,monthly_customer,kept_sales_record,bz_have_new_practices,practice_type,bz_have_new_product,new_product_type,job_created,revenue,hh_expense,nps_detractor,nps_passive,nps_promoter,satisfied_yes,satisfied_no,survey_name,has_started_business,why_not_started_business,bz_source_capital,did_you_buy_assets_in_the_past_6months,business_challenges,did_you_attended_all_training,does_training_increased_bz_skills,plan_after_program,risk_tier_1m,risk_tier_2m,risk_tier_3m,risk_score_1m,risk_score_2m,risk_score_3m,jobs_created_1m,jobs_created_2m,jobs_created_3m,jobs_lost_1m,jobs_lost_2m,jobs_lost_3m,revenue_1m,revenue_2m,revenue_3m,countrySpecific,country_code
U03620,KE-2022-S1,2022-10-10,38,Female,refugee,Kakuma Camp,South Sudanese,Primary,Retail & Trade,Clothing,No,2,Nairobi,Yes,No,No,27.0,No,No,,Yes,Clothing,0,785.05,348.09,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.627407,0.614038,0.630452,0,0,0,0,0,0,739.06,833.18,822.04,Kenya,KE
U02722,KE-2018-S1,2018-07-30,24,Female,refugee,Dadaab Camp,Kenyan,Diploma,Construction,Masonry,No,7,Kajiado,Yes,Yes,No,11.0,No,No,,Yes,Carpentry,0,619.71,394.36,0,0,1,1,0,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.518331,0.482308,0.481445,1,1,1,0,0,0,602.0,650.42,599.25,Kenya,KE
U04757,RW-2022-S1,2022-05-16,24,Male,refugee,Nyarugenge,Congolese,Secondary,Agriculture,Dairy,No,1,Nyarugenge,Yes,No,Yes,13.0,No,No,,No,,3,550.41,280.41,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.603427,0.613674,0.635084,0,0,0,2,2,2,542.15,598.75,596.05,Rwanda,RW
U03297,ET-2024-S2,2024-12-22,34,Male,host,Shire Camp,Somali,Secondary,Transport,Taxi,No,4,Bole,Yes,No,Yes,25.0,No,Yes,Marketing,No,,2,231.22,100.06,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.427873,0.450269,0.472067,0,0,0,0,0,0,229.8,213.04,223.23,Ethiopia,ET
U01208,ET-2021-S1,2021-01-13,45,Male,refugee,Addis Ababa,Eritrean,TVET,Professional Services,Repairs,Yes,6,Bahir Dar,Yes,No,Yes,26.0,No,No,,No,,0,383.4,215.99,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,HIGH,0.673714,0.68914,0.716363,0,0,0,0,0,0,392.89,358.38,366.14,Ethiopia,ET
U04136,SS-2025-S3,2025-08-07,33,Female,host,Torit,Sudanese,Bachelor,Hospitality and Tourism,Coffee Shop,No,4,Yambio,Yes,Yes,Yes,25.0,No,Yes,Inventory,Yes,Restaurant,0,265.68,157.98,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,LOW,LOW,0.35131,0.328629,0.325761,0,0,1,0,0,0,253.97,255.0,233.99,South Sudan,SS
U03117,RW-2018-S3,2018-09-02,37,Male,host,Mahama Camp,Burundian,Diploma,Transport,Logistics,No,3,Kicukiro,Yes,Yes,Yes,29.0,No,No,,No,,2,738.55,257.93,1,0,0,0,1,Follow-up Survey,True,,,,,,,,LOW,LOW,LOW,0.253014,0.293879,0.34068,1,1,1,0,0,0,695.76,784.38,735.91,Rwanda,RW
U02682,RW-2022-S2,2022-04-19,32,Male,host,Nyarugenge,Congolese,Bachelor,Hospitality and Tourism,Restaurant,Yes,3,Nyarugenge,Yes,No,Yes,60.0,Yes,Yes,Pricing,Yes,Restaurant,1,287.76,141.79,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,LOW,0.369916,0.359887,0.344881,0,0,0,0,0,0,299.3,304.81,279.02,Rwanda,RW
U00886,KE-2020-S2,2020-10-23,33,Male,host,Nakuru,Somali,TVET,Personal Services,Beauty,No,6,Kajiado,Yes,No,No,22.0,No,Yes,Supplier diversification,No,,2,318.13,198.43,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.643839,0.65435,0.642737,0,0,0,0,0,0,318.46,326.53,328.11,Kenya,KE
U01254,ET-2025-S3,2025-08-11,27,Male,host,Jijiga,Somali,TVET,Construction,Paint,No,7,Yeka,No,Yes,No,37.0,No,Yes,Marketing,No,,1,359.32,185.63,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.538868,0.535211,0.541752,0,0,0,1,1,1,368.99,336.28,358.32,Ethiopia,ET
U00702,ET-2026-S1,2026-05-04,33,Female,host,Shire Camp,Somali,Diploma,Transport,Taxi,Yes,5,Bahir Dar,No,No,Yes,29.0,Yes,No,,No,,2,765.51,292.74,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.485592,0.467893,0.467673,0,0,0,0,0,0,784.1,726.96,769.38,Ethiopia,ET
U04830,RW-2025-S2,2025-09-26,18,Female,refugee,Nyarugenge,Rwandan,Bachelor,Professional Services,Consulting,No,3,Gasabo,No,No,Yes,30.0,Yes,No,,No,,1,1011.1,310.37,0,1,0,0,1,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,LOW,0.442541,0.371152,0.335965,0,0,0,0,0,0,1109.3,1019.06,1046.54,Rwanda,RW
U01223,RW-2018-S1,2018-10-16,26,Female,host,Kigeme Camp,Congolese,Primary,Agriculture,Vegetables,Yes,5,,,,,,,,,,,0,310.81,,0,0,1,1,0,Endline Survey,True,,Community group,False,High input costs,True,True,Start business,MEDIUM,MEDIUM,MEDIUM,0.451825,0.441889,0.43917,0,0,0,0,0,0,313.08,283.23,278.6,Rwanda,RW
U04865,RW-2024-S2,2024-08-28,36,Male,host,Nyabiheke Camp,Congolese,Diploma,Retail & Trade,Phone Accessories,Yes,5,Musanze,No,Yes,No,42.0,No,No,,No,,1,453.98,275.14,0,0,1,0,1,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.5466,0.545185,0.542412,0,0,0,0,0,0,489.51,458.73,465.66,Rwanda,RW
U04424,ET-2022-S3,2022-09-10,41,Male,refugee,Mekelle,Somali,Bachelor,Hospitality and Tourism,Lodging,No,3,Mekelle,No,No,Yes,18.0,No,No,,No,,1,137.49,86.09,0,0,1,1,0,Endline Survey,True,,,,,,,,HIGH,HIGH,MEDIUM,0.713779,0.727677,0.694671,0,0,0,0,1,2,137.67,131.86,120.78,Ethiopia,ET
U00857,RW-2023-S3,2023-03-24,49,Male,refugee,Mahama Camp,Burundian,Secondary,Retail & Trade,Pharmacy,Yes,3,Rubavu,Yes,No,Yes,21.0,No,No,,No,,2,386.01,116.64,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.578407,0.618739,0.625223,1,1,1,0,0,0,397.68,430.72,407.87,Rwanda,RW
U01298,RW-2021-S3,2021-06-09,35,Female,refugee,Gasabo,Congolese,Primary,Personal Services,Laundry,Yes,8,Nyarugenge,Yes,No,Yes,32.0,No,Yes,Supplier diversification,Yes,Childcare,1,170.42,114.13,0,0,1,0,1,Baseline Survey,True,,,,,,,,HIGH,HIGH,HIGH,0.729045,0.715225,0.709001,0,0,0,0,1,1,160.67,166.14,147.77,Rwanda,RW
U04751,RW-2022-S3,2022-12-04,41,Female,host,Nyarugenge,Congolese,Secondary,Agriculture,Dairy,No,2,Kicukiro,No,Yes,Yes,52.0,No,No,,Yes,Grains,1,498.47,196.8,0,1,0,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.413106,0.409853,0.450568,0,0,0,0,0,0,543.22,482.1,558.86,Rwanda,RW
U04309,KE-2025-S1,2025-08-22,20,Male,host,Kakuma Camp,Kenyan,Bachelor,Professional Services,Hair Salon,No,6,,,,,,,,,,,0,512.69,,1,0,0,1,0,Follow-up Survey,False,Health issues,Loan,False,Security constraints,False,False,Start business,MEDIUM,MEDIUM,MEDIUM,0.384238,0.368898,0.38109,0,0,0,0,0,0,487.35,474.69,455.93,Kenya,KE
U01363,KE-2019-S2,2019-12-22,39,Male,host,Nairobi,Somali,Secondary,Professional Services,Repairs,Yes,4,Kajiado,Yes,No,Yes,15.0,No,Yes,Supplier diversification,Yes,Consulting,0,353.74,154.03,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.517113,0.504969,0.510319,0,0,0,0,0,0,373.04,351.38,377.43,Kenya,KE
U03476,SS-2022-S3,2022-12-20,31,Male,refugee,Torit,Sudanese,Primary,Retail & Trade,Clothing,No,4,Yambio,Yes,No,No,21.0,Yes,No,,No,,1,355.96,136.38,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,LOW,LOW,0.359888,0.337569,0.339556,0,0,0,0,0,1,381.87,359.3,404.21,South Sudan,SS
U01121,ET-2022-S3,2022-11-18,46,Male,refugee,Shire Camp,Ethiopian,None,Agriculture,Grains,Yes,3,,,,,,,,,,,0,83.26,,0,1,0,1,0,Baseline Survey,False,Family responsibilities,Community group,False,High input costs,False,False,Seek employment,MEDIUM,MEDIUM,MEDIUM,0.449468,0.411259,0.38941,0,0,0,0,0,0,83.4,94.47,96.72,Ethiopia,ET
U03256,SS-2020-S1,2020-10-12,32,Male,refugee,Juba,Sudanese,None,Professional Services,Hair Salon,Yes,5,,,,,,,,,,,1,235.91,,0,1,0,1,0,Follow-up Survey,True,,Savings,False,Limited mobility,True,True,Start business,MEDIUM,MEDIUM,MEDIUM,0.471014,0.45113,0.440794,0,1,1,0,0,0,241.72,221.76,219.22,South Sudan,SS
U00797,RW-2025-S1,2025-05-01,25,Female,host,Nyabiheke Camp,Burundian,Secondary,Transport,Logistics,No,3,Rwamagana,No,No,No,28.0,No,Yes,Inventory,Yes,Logistics,0,339.91,196.12,0,1,0,0,1,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.494806,0.516074,0.534859,0,1,1,0,0,0,326.27,349.0,401.32,Rwanda,RW
U04892,RW-2021-S3,2021-01-11,18,Male,host,Kigeme Camp,Rwandan,Postgraduate,Retail & Trade,Clothing,Yes,3,,,,,,,,,,,0,589.09,,0,1,0,1,0,Baseline Survey,False,Permit/registration barriers,Savings,True,Competition,False,False,Join cooperative,LOW,LOW,LOW,0.274284,0.25919,0.242894,0,0,0,0,0,0,566.89,588.26,693.6,Rwanda,RW
U02174,ET-2018-S1,2018-01-27,33,Male,host,Addis Ababa,Eritrean,Primary,Professional Services,Repairs,No,2,Kirkos,No,No,Yes,17.0,No,No,,No,,0,721.91,327.32,0,0,1,0,1,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.569903,0.593438,0.597681,0,0,0,0,1,2,744.91,712.46,763.25,Ethiopia,ET
U02253,ET-2019-S1,2019-11-16,33,Female,host,Jijiga,Somali,Secondary,Hospitality and Tourism,Restaurant,No,2,Bole,No,No,No,58.0,No,Yes,Marketing,No,,1,628.58,381.48,0,1,0,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.422086,0.430039,0.423284,0,0,0,0,0,0,614.7,591.25,667.02,Ethiopia,ET
U03538,RW-2019-S1,2019-02-19,41,Female,host,Gasabo,Burundian,Primary,ICT,Mobile Money,No,5,Rubavu,No,No,No,61.0,No,No,,No,,0,507.57,220.72,0,1,0,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.538576,0.567616,0.576079,0,0,0,0,1,1,526.74,503.45,531.88,Rwanda,RW
U04561,KE-2026-S3,2026-01-14,29,Female,refugee,Nairobi,Kenyan,TVET,Hospitality and Tourism,Restaurant,No,5,,,,,,,,,,,1,242.6,,0,0,1,1,0,Baseline Survey,False,Health issues,Savings,True,Low demand,True,True,Continue training,MEDIUM,MEDIUM,MEDIUM,0.49947,0.520529,0.509413,0,0,0,0,0,0,249.13,249.16,239.09,Kenya,KE
U00408,KE-2020-S1,2020-12-11,29,Male,host,Kisumu,Somali,Secondary,Professional Services,Tailoring,No,6,Nairobi,Yes,No,No,13.0,No,Yes,Marketing,No,,1,306.28,124.14,0,0,1,1,0,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.531104,0.551983,0.570128,0,0,1,0,0,0,294.12,319.91,323.51,Kenya,KE
U04578,RW-2021-S3,2021-12-09,37,Female,host,Gasabo,Congolese,Bachelor,Retail & Trade,Grocery,No,4,,,,,,,,,,,0,494.17,,1,0,0,1,0,Endline Survey,True,,Grant,True,High input costs,True,False,Continue training,MEDIUM,LOW,LOW,0.385365,0.345556,0.303244,1,1,2,0,1,1,539.01,505.88,552.49,Rwanda,RW
U02782,RW-2022-S3,2022-04-24,46,Male,host,Gasabo,Burundian,Secondary,Agriculture,Dairy,No,2,,,,,,,,,,,0,200.32,,1,0,0,1,0,Baseline Survey,True,,Loan,True,Limited mobility,True,True,Start business,LOW,LOW,LOW,0.21373,0.200768,0.19395,1,1,1,0,0,0,215.58,222.86,219.18,Rwanda,RW
U03603,KE-2023-S1,2023-02-04,18,Male,refugee,Kisumu,Kenyan,Diploma,Professional Services,Hair Salon,No,5,Nakuru,No,No,Yes,14.0,No,No,,No,,1,370.63,98.93,1,0,0,1,0,Baseline Survey,True,,,,,,,,HIGH,HIGH,HIGH,0.718362,0.719705,0.716096,0,0,1,0,0,0,337.56,323.07,283.7,Kenya,KE
U00691,ET-2023-S3,2023-09-16,27,Female,host,Shire Camp,Somali,Diploma,Agriculture,Grains,No,1,Bahir Dar,No,Yes,No,100.0,No,Yes,Inventory,Yes,Grains,0,258.74,97.62,1,0,0,1,0,Follow-up Survey,True,,,,,,,,LOW,LOW,LOW,0.263227,0.245374,0.236088,0,0,0,0,0,0,269.01,304.52,364.86,Ethiopia,ET
U04579,RW-2019-S2,2019-07-12,20,Female,host,Nyabiheke Camp,Burundian,Primary,ICT,Cybercafe,Yes,3,,,,,,,,,,,0,327.57,,0,0,1,1,0,Baseline Survey,False,Market uncertainty,Family support,False,Security constraints,True,False,Expand idea,MEDIUM,MEDIUM,MEDIUM,0.523453,0.542129,0.529016,0,0,0,0,0,0,351.44,364.67,377.5,Rwanda,RW
U03087,ET-2020-S3,2020-03-19,37,Male,refugee,Bahir Dar,Somali,Diploma,Professional Services,Tailoring,No,3,Bahir Dar,No,No,No,14.0,Yes,Yes,Marketing,No,,2,597.46,213.23,1,0,0,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.468207,0.491759,0.499912,0,0,0,0,0,0,592.56,625.93,603.89,Ethiopia,ET
U03937,KE-2018-S3,2018-07-10,21,Female,host,Nairobi,Somali,Bachelor,Retail & Trade,Clothing,No,5,Kisumu,Yes,No,No,9.0,No,No,,No,,0,900.91,433.35,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.453508,0.521673,0.545969,0,0,0,1,1,1,957.45,938.82,906.37,Kenya,KE
U01137,RW-2022-S2,2022-12-28,32,Male,refugee,Gasabo,Congolese,Bachelor,Retail & Trade,Phone Accessories,No,3,Rwamagana,Yes,Yes,Yes,9.0,Yes,No,,No,,1,476.11,249.48,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.46329,0.468897,0.479103,1,1,1,0,1,1,441.93,420.4,425.35,Rwanda,RW
U00702,RW-2024-S1,2024-09-25,18,Female,host,Kigeme Camp,Burundian,Secondary,Agriculture,Grains,No,4,Nyarugenge,Yes,No,Yes,42.0,Yes,No,,No,,1,402.38,215.7,0,1,0,1,0,Baseline Survey,True,,,,,,,,LOW,LOW,LOW,0.263466,0.216188,0.2009,0,0,0,0,0,0,445.42,456.84,500.81,Rwanda,RW
U03750,ET-2020-S1,2020-01-19,20,Male,host,Addis Ababa,Eritrean,Primary,Personal Services,Beauty,No,4,Yeka,Yes,Yes,No,104.0,No,Yes,Inventory,Yes,Beauty,2,233.27,115.32,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.441863,0.40838,0.412876,0,0,0,0,0,0,231.98,230.88,245.39,Ethiopia,ET
U03528,KE-2024-S1,2024-11-04,29,Female,host,Nairobi,Kenyan,Secondary,Professional Services,Hair Salon,No,4,Kajiado,No,Yes,Yes,32.0,No,Yes,Marketing,Yes,Hair Salon,1,546.37,313.04,0,1,0,1,0,Follow-up Survey,True,,,,,,,,LOW,MEDIUM,MEDIUM,0.303788,0.352809,0.373227,0,1,2,0,0,0,602.33,666.61,634.06,Kenya,KE
U03137,RW-2023-S2,2023-10-18,38,Male,host,Nyarugenge,Congolese,Secondary,Professional Services,Tailoring,Yes,5,Nyarugenge,No,Yes,Yes,27.0,No,No,,No,,0,525.7,218.23,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.575058,0.566768,0.555132,0,0,0,2,2,2,532.57,547.86,474.06,Rwanda,RW
U03647,KE-2025-S1,2025-02-14,40,Female,refugee,Dadaab Camp,South Sudanese,Postgraduate,Retail & Trade,Grocery,No,2,Kajiado,No,Yes,Yes,32.0,Yes,Yes,Marketing,Yes,Phone Accessories,0,185.59,117.5,0,1,0,1,0,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.448932,0.462759,0.488555,0,0,0,0,0,0,184.2,181.44,180.63,Kenya,KE
U00608,RW-2023-S3,2023-08-19,19,Male,host,Kigeme Camp,Burundian,Primary,Agriculture,Vegetables,Yes,4,,,,,,,,,,,3,365.71,,1,0,0,1,0,Follow-up Survey,True,,Family support,True,Competition,True,False,Seek employment,MEDIUM,MEDIUM,MEDIUM,0.48418,0.39817,0.354205,0,0,0,0,0,1,363.23,333.6,338.28,Rwanda,RW
U04757,ET-2020-S3,2020-03-19,25,Male,refugee,Mekelle,Somali,Bachelor,Retail & Trade,Grocery,Yes,2,,,,,,,,,,,0,621.95,,0,1,0,0,1,Baseline Survey,False,Health issues,Community group,False,Security constraints,False,False,Join cooperative,MEDIUM,MEDIUM,MEDIUM,0.402223,0.378885,0.374742,0,0,1,0,0,0,676.05,687.05,668.27,Ethiopia,ET
U03405,ET-2020-S2,2020-09-04,25,Male,host,Mekelle,Somali,Primary,ICT,Software Services,No,5,Mekelle,No,No,Yes,32.0,Yes,Yes,Record keeping,Yes,Software Services,1,550.62,326.13,0,0,1,0,1,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.393946,0.371336,0.362001,0,0,0,0,0,1,541.5,556.83,656.97,Ethiopia,ET
U00190,ET-2022-S2,2022-02-16,22,Female,host,Bahir Dar,Somali,Bachelor,Professional Services,Repairs,No,5,Hawassa,No,Yes,Yes,10.0,Yes,Yes,Inventory,No,,1,464.08,300.28,0,0,1,1,0,Endline Survey,True,,,,,,,,LOW,LOW,LOW,0.310985,0.257578,0.213865,1,1,1,0,0,0,458.05,475.29,490.48,Ethiopia,ET
U00793,KE-2019-S1,2019-07-21,21,Male,refugee,Dadaab Camp,Kenyan,Secondary,Retail & Trade,Grocery,No,4,Kajiado,No,No,No,13.0,Yes,No,,Yes,Phone Accessories,0,589.03,159.27,1,0,0,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.600447,0.644755,0.659354,0,0,0,0,0,0,590.32,599.52,593.47,Kenya,KE
U04782,RW-2019-S2,2019-06-07,29,Female,refugee,Gasabo,Burundian,TVET,Agriculture,Poultry,No,11,,,,,,,,,,,1,262.31,,1,0,0,1,0,Follow-up Survey,False,Permit/registration barriers,Community group,False,Security constraints,True,True,Start business,MEDIUM,MEDIUM,MEDIUM,0.613521,0.616386,0.618635,0,0,0,0,0,0,264.48,268.15,272.66,Rwanda,RW
U00511,RW-2025-S3,2025-12-28,39,Male,host,Nyabiheke Camp,Congolese,Secondary,Agriculture,Grains,Yes,3,Nyarugenge,Yes,No,No,28.0,No,No,,Yes,Grains,1,166.33,109.85,0,0,1,1,0,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.685421,0.680713,0.685079,0,0,0,1,1,1,179.68,183.93,189.75,Rwanda,RW
U02241,RW-2023-S3,2023-05-28,18,Male,refugee,Mahama Camp,Congolese,Secondary,ICT,Mobile Money,Yes,2,,,,,,,,,,,4,785.94,,0,1,0,1,0,Endline Survey,False,Health issues,Family support,True,Limited mobility,True,True,Seek employment,MEDIUM,MEDIUM,MEDIUM,0.63295,0.647522,0.663738,0,0,0,1,1,1,762.37,826.18,817.84,Rwanda,RW
U03870,RW-2024-S2,2024-02-21,41,Female,host,Kicukiro,Congolese,Bachelor,Manufacturing,Soap,No,2,,,,,,,,,,,0,971.73,,0,1,0,1,0,Endline Survey,False,Lack of capital,Community group,True,Low demand,False,False,Expand idea,MEDIUM,MEDIUM,MEDIUM,0.406973,0.411917,0.418,1,1,2,0,0,0,924.66,1080.96,1102.16,Rwanda,RW
U00076,SS-2022-S1,2022-06-02,30,Female,host,Yambio,Sudanese,Postgraduate,ICT,Device Repair,No,2,Yambio,Yes,Yes,Yes,12.0,Yes,No,,Yes,Mobile Money,1,609.8,410.0,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.387851,0.372323,0.380404,1,1,1,0,0,0,658.71,677.05,684.44,South Sudan,SS
U01152,RW-2019-S1,2019-09-02,44,Male,host,Kicukiro,Congolese,Secondary,Transport,Delivery,No,3,,,,,,,,,,,1,601.12,,0,0,1,1,0,Follow-up Survey,False,Market uncertainty,Savings,False,Security constraints,True,True,Join cooperative,LOW,LOW,LOW,0.301454,0.254377,0.243069,0,0,0,0,0,0,686.25,747.05,853.88,Rwanda,RW
U03918,ET-2021-S1,2021-03-20,18,Male,refugee,Jijiga,Eritrean,Secondary,Transport,Logistics,No,6,,,,,,,,,,,0,247.97,,1,0,0,1,0,Baseline Survey,False,Permit/registration barriers,Loan,True,Limited mobility,True,False,Join cooperative,MEDIUM,MEDIUM,MEDIUM,0.564245,0.518411,0.467368,1,1,1,0,0,0,263.6,248.59,259.73,Ethiopia,ET
U00456,RW-2026-S2,2026-08-21,30,Male,host,Kigeme Camp,Congolese,Secondary,Manufacturing,Furniture,Yes,1,Gasabo,No,Yes,Yes,22.0,Yes,Yes,Record keeping,No,,0,360.31,131.34,0,1,0,1,0,Endline Survey,True,,,,,,,,LOW,MEDIUM,MEDIUM,0.319316,0.377416,0.400532,0,0,0,0,0,0,386.35,413.61,389.79,Rwanda,RW
